Institution code (UKPRN),Institution name,Institution sort order,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Profile,FTE Category A staff submitted,4*,3*,2*,1*,unclassified
10000291,Anglia Ruskin University,10,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,11.3,10,72,18,0,0
10000291,Anglia Ruskin University,10,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,13.7,7,45,30,18,0
10000291,Anglia Ruskin University,10,A,5,Biological Sciences, ,,,Overall,7.25,0,25,39,20,16
10000291,Anglia Ruskin University,10,B,15,General Engineering, ,,,Overall,8,0,34,60,6,0
10000291,Anglia Ruskin University,10,C,16,"Architecture, Built Environment and Planning", ,,,Overall,8,8,21,45,26,0
10000291,Anglia Ruskin University,10,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,17.5,13,41,43,3,0
10000291,Anglia Ruskin University,10,C,19,Business and Management Studies, ,,,Overall,14.2,6,45,37,9,3
10000291,Anglia Ruskin University,10,C,20,Law, ,,,Overall,10.2,2,26,54,14,4
10000291,Anglia Ruskin University,10,C,22,Social Work and Social Policy, ,,,Overall,14.31,7,21,53,19,0
10000291,Anglia Ruskin University,10,C,25,Education, ,,,Overall,5.2,0,26,45,26,3
10000291,Anglia Ruskin University,10,D,29,English Language and Literature, ,,,Overall,16.8,8,37,45,10,0
10000291,Anglia Ruskin University,10,D,30,History, ,,,Overall,5.5,8,26,44,14,8
10000291,Anglia Ruskin University,10,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,13.9,4,43,44,9,0
10000291,Anglia Ruskin University,10,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,13.8,12,34,32,19,3
10000291,Anglia Ruskin University,10,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,8.7,12,46,42,0,0
10007759,Aston University,20,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,56.8,45,49,5,0,1
10007759,Aston University,20,B,11,Computer Science and Informatics, ,,,Overall,18.2,16,45,39,0,0
10007759,Aston University,20,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Overall,24,16,55,28,1,0
10007759,Aston University,20,B,15,General Engineering, ,,,Overall,23.63,15,57,24,4,0
10007759,Aston University,20,C,19,Business and Management Studies, ,,,Overall,46.3,30,48,21,1,0
10007759,Aston University,20,D,27,Area Studies, ,,,Overall,12,27,54,19,0,0
10007759,Aston University,20,D,28,Modern Languages and Linguistics, ,,,Overall,18.5,24,38,32,6,0
10007850,University of Bath,30,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,54.2,51,40,8,1,0
10007850,University of Bath,30,A,5,Biological Sciences, ,,,Overall,24.5,23,62,14,0,1
10007850,University of Bath,30,B,8,Chemistry, ,,,Overall,33.1,25,73,2,0,0
10007850,University of Bath,30,B,9,Physics, ,,,Overall,23,25,66,9,0,0
10007850,University of Bath,30,B,10,Mathematical Sciences, ,,,Overall,44.4,26,62,10,2,0
10007850,University of Bath,30,B,11,Computer Science and Informatics, ,,,Overall,24,11,71,17,1,0
10007850,University of Bath,30,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering", ,,,Overall,61,19,70,11,0,0
10007850,University of Bath,30,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials", ,,,Overall,20.5,13,78,9,0,0
10007850,University of Bath,30,C,16,"Architecture, Built Environment and Planning", ,,,Overall,28.38,50,40,8,2,0
10007850,University of Bath,30,C,19,Business and Management Studies, ,,,Overall,64.9,41,43,12,3,1
10007850,University of Bath,30,C,22,Social Work and Social Policy, ,,,Overall,35.55,46,34,18,1,1
10007850,University of Bath,30,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,22,47,43,10,0,0
10007850,University of Bath,30,D,27,Area Studies, ,,,Overall,26,23,45,23,8,1
10000571,Bath Spa University,40,C,25,Education, ,,,Overall,13.2,5,30,43,19,3
10000571,Bath Spa University,40,D,29,English Language and Literature, ,,,Overall,21.05,15,52,26,4,3
10000571,Bath Spa University,40,D,30,History, ,,,Overall,6.2,2,34,44,20,0
10000571,Bath Spa University,40,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,14.17,12,35,44,8,1
10000571,Bath Spa University,40,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,12,26,32,27,15,0
10000571,Bath Spa University,40,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,7.4,13,51,28,8,0
10007152,University of Bedfordshire,50,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,24.9,24,49,23,3,1
10007152,University of Bedfordshire,50,B,7,Earth Systems and Environmental Sciences, ,,,Overall,4.8,0,15,67,18,0
10007152,University of Bedfordshire,50,B,11,Computer Science and Informatics, ,,,Overall,34.6,5,33,52,10,0
10007152,University of Bedfordshire,50,C,19,Business and Management Studies, ,,,Overall,14,7,30,55,8,0
10007152,University of Bedfordshire,50,C,20,Law, ,,,Overall,5.2,0,25,44,24,7
10007152,University of Bedfordshire,50,C,22,Social Work and Social Policy, ,,,Overall,14.2,30,48,19,3,0
10007152,University of Bedfordshire,50,C,25,Education, ,,,Overall,8.4,12,25,40,23,0
10007152,University of Bedfordshire,50,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,19.4,9,32,51,7,1
10007152,University of Bedfordshire,50,D,29,English Language and Literature, ,,,Overall,9,45,33,22,0,0
10007152,University of Bedfordshire,50,D,35,"Music, Drama, Dance and Performing Arts", ,,,Overall,6.8,11,9,40,29,11
10007152,University of Bedfordshire,50,D,36,"Communication, Cultural and Media Studies, Library and Information Management", ,,,Overall,11.5,9,46,36,9,0
10007760,Birkbeck College,60,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,28.35,60,29,8,2,1
10007760,Birkbeck College,60,A,5,Biological Sciences, ,,(joint submission with University College London),Overall,21.2,46,36,16,1,1
10007760,Birkbeck College,60,B,7,Earth Systems and Environmental Sciences, ,,(joint submission with University College London),Overall,9,34,58,7,1,0
10007760,Birkbeck College,60,B,11,Computer Science and Informatics, ,,,Overall,18.8,21,47,20,12,0
10007760,Birkbeck College,60,C,18,Economics and Econometrics, ,,,Overall,25.15,7,52,36,4,1
10007760,Birkbeck College,60,C,19,Business and Management Studies, ,,,Overall,30.1,10,39,42,9,0
10007760,Birkbeck College,60,C,20,Law, ,,,Overall,27.24,24,49,26,1,0
10007760,Birkbeck College,60,C,21,Politics and International Studies, ,,,Overall,12.8,30,42,24,4,0
10007760,Birkbeck College,60,C,23,Sociology, ,,,Overall,26.25,22,49,28,1,0
10007760,Birkbeck College,60,D,28,Modern Languages and Linguistics, ,,,Overall,25.45,22,51,26,1,0
10007760,Birkbeck College,60,D,29,English Language and Literature, ,,,Overall,33.7,23,52,21,3,1
10007760,Birkbeck College,60,D,30,History, ,,,Overall,35.63,35,50,14,0,1
10007760,Birkbeck College,60,D,32,Philosophy, ,,,Overall,12.3,32,41,27,0,0
10007760,Birkbeck College,60,D,34,"Art and Design: History, Practice and Theory", ,,,Overall,21.79,24,47,25,4,0
10006840,University of Birmingham,70,A,1,Clinical Medicine, ,,,Overall,164.15,27,53,18,1,1
10006840,University of Birmingham,70,A,2,"Public Health, Health Services and Primary Care", ,,,Overall,44.7,30,54,14,2,0
10006840,University of Birmingham,70,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy", ,,,Overall,15.9,30,69,1,0,0
10006840,University of Birmingham,70,A,4,"Psychology, Psychiatry and Neuroscience", ,,,Overall,40.8,52,37,11,0,0
10006840,University of Birmingham,70,A,5,Biological Sciences, ,,,Overall,42.8,32,59,7,1,1
10006840,University of Birmingham,70,B,7,Earth Systems and Environmental Sciences, ,,,Overall,28.2,13,80,7,0,0
10006840,University of Birmingham,70,B,8,Chemistry, ,,,Overall,28,11,79,10,0,0
10006840,University of Birmingham,70,B,9,Physics, ,,,Overall,39,23,61,14,2,0
10006840,University of Birmingham,70,B,10,Mathematical Sciences, ,,,Overall,40,15,65,16,0,4
10006840,University of Birmingham,70,B,11,Computer Science and Informatics, ,,,Overall,40.6,29,57,13,0,1
10006840,University of Birmingham,70,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",A,Mechanical Engineering,,Overall,21,14,71,15,0,0
10006840,University of Birmingham,70,B,12,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",B,Chemical Engineering,,Overall,32.5,27,60,13,0,0
10006840,University of Birmingham,70,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials",A,"Electronic, Electrical and computer engineering",,Overall,26.2,14,72,12,1,1
10006840,University of Birmingham,70,B,13,"Electrical and Electronic Engineering, Metallurgy and Materials",B,Metallurgy and Materials,,Overall,29.1,31,55,9,4,1
10006840,University of Birmingham,70,B,14,Civil and Construction Engineering, ,,,Overall,18.1,7,59,30,4,0
10006840,University of Birmingham,70,C,17,"Geography, Environmental Studies and Archaeology", ,,,Overall,25,30,46,22,2,0
10006840,University of Birmingham,70,C,18,Economics and Econometrics, ,,,Overall,24.2,10,59,30,1,0
10006840,University of Birmingham,70,C,19,Business and Management Studies, ,,,Overall,53.1,21,47,27,5,0
10006840,University of Birmingham,70,C,20,Law, ,,,Overall,31.79,29,43,24,4,0
10006840,University of Birmingham,70,C,21,Politics and International Studies, ,,,Overall,47.07,24,39,28,9,0
10006840,University of Birmingham,70,C,22,Social Work and Social Policy, ,,,Overall,34.5,23,53,21,2,1
10006840,University of Birmingham,70,C,25,Education, ,,,Overall,23.7,47,35,15,3,0
10006840,University of Birmingham,70,C,26,"Sport and Exercise Sciences, Leisure and Tourism", ,,,Overall,34.4,55,35,9,1,0
10006840,University of Birmingham,70,D,27,Area Studies, ,,,Overall,7.6,44,49,7,0,0
10006840,University of Birmingham,70,D,28,Modern Languages and Linguistics, ,,,Overall,33.1,16,59,24,1,0
10006840,University of Birmingham,70,D,29,English Language and Literature, ,,,Overall,37.2,34,53,11,2,0
10006840,University of Birmingham,70,D,30,History, ,,,Overall,37.2,45,42,13,0,0
10006840,University of Birmingham,70,D,31,Classics, ,,,Overall,20,38,43,18,1,0
10006840,University of Birmingham,70,D,32,Philosophy, ,,,Overall,14,49,34,15,2,0
